timestamp,episode,carol_openness,carol_conscientiousness,carol_extraversion,carol_agreeableness,carol_neuroticism
2026-04-26 18:47:47.134,1,0.1981,-0.1980,0.1990,-0.3941,-0.0020
2026-04-26 18:47:47.207,2,0.1962,-0.1960,0.1980,-0.3882,-0.0040
2026-04-26 18:47:47.262,3,0.1947,-0.1940,0.1969,-0.3827,-0.0061
2026-04-26 18:47:47.353,4,0.1936,-0.1921,0.1957,-0.3777,-0.0083
2026-04-26 18:47:47.411,5,0.1928,-0.1901,0.1944,-0.3730,-0.0106
2026-04-26 18:47:47.453,6,0.1921,-0.1881,0.1931,-0.3684,-0.0128
2026-04-26 18:47:47.497,7,0.1916,-0.1862,0.1917,-0.3640,-0.0151
2026-04-26 18:47:47.535,8,0.1915,-0.1843,0.1903,-0.3600,-0.0175
2026-04-26 18:47:47.563,9,0.1912,-0.1824,0.1890,-0.3560,-0.0199
2026-04-26 18:47:47.587,10,0.1910,-0.1804,0.1876,-0.3519,-0.0222
2026-04-26 18:47:47.614,11,0.1908,-0.1785,0.1862,-0.3478,-0.0245
2026-04-26 18:47:47.644,12,0.1906,-0.1766,0.1848,-0.3439,-0.0268
2026-04-26 18:47:47.678,13,0.1906,-0.1748,0.1834,-0.3401,-0.0292
2026-04-26 18:47:47.718,14,0.1909,-0.1729,0.1819,-0.3367,-0.0316
2026-04-26 18:47:47.749,15,0.1913,-0.1710,0.1805,-0.3333,-0.0340
2026-04-26 18:47:47.778,16,0.1917,-0.1692,0.1790,-0.3300,-0.0365
2026-04-26 18:47:47.815,17,0.1922,-0.1673,0.1774,-0.3269,-0.0389
2026-04-26 18:47:47.849,18,0.1928,-0.1655,0.1759,-0.3238,-0.0413
2026-04-26 18:47:47.886,19,0.1933,-0.1637,0.1744,-0.3206,-0.0437
2026-04-26 18:47:47.918,20,0.1937,-0.1618,0.1730,-0.3174,-0.0461
2026-04-26 18:47:47.937,21,0.1940,-0.1600,0.1715,-0.3141,-0.0485
2026-04-26 18:47:47.964,22,0.1943,-0.1582,0.1701,-0.3108,-0.0508
2026-04-26 18:47:47.981,23,0.1945,-0.1564,0.1687,-0.3074,-0.0531
2026-04-26 18:47:48.000,24,0.1947,-0.1547,0.1673,-0.3040,-0.0554
2026-04-26 18:47:48.015,25,0.1949,-0.1529,0.1660,-0.3006,-0.0576
2026-04-26 18:47:48.033,26,0.1950,-0.1511,0.1646,-0.2972,-0.0598
2026-04-26 18:47:48.054,27,0.1951,-0.1494,0.1633,-0.2938,-0.0621
2026-04-26 18:47:48.084,28,0.1952,-0.1476,0.1619,-0.2904,-0.0643
2026-04-26 18:47:48.111,29,0.1954,-0.1459,0.1606,-0.2871,-0.0665
2026-04-26 18:47:48.141,30,0.1955,-0.1442,0.1592,-0.2838,-0.0687
2026-04-26 18:47:48.166,31,0.1956,-0.1424,0.1579,-0.2805,-0.0709
2026-04-26 18:47:48.191,32,0.1957,-0.1407,0.1566,-0.2772,-0.0730
2026-04-26 18:47:48.211,33,0.1958,-0.1390,0.1553,-0.2739,-0.0752
2026-04-26 18:47:48.232,34,0.1959,-0.1373,0.1540,-0.2705,-0.0773
2026-04-26 18:47:48.257,35,0.1960,-0.1356,0.1527,-0.2673,-0.0795
2026-04-26 18:47:48.282,36,0.1961,-0.1340,0.1514,-0.2640,-0.0816
2026-04-26 18:47:48.306,37,0.1962,-0.1323,0.1502,-0.2608,-0.0837
2026-04-26 18:47:48.340,38,0.1963,-0.1306,0.1489,-0.2576,-0.0858
2026-04-26 18:47:48.365,39,0.1965,-0.1290,0.1476,-0.2545,-0.0879
2026-04-26 18:47:48.382,40,0.1968,-0.1273,0.1463,-0.2514,-0.0900
2026-04-26 18:47:48.398,41,0.1970,-0.1257,0.1450,-0.2484,-0.0921
2026-04-26 18:47:48.420,42,0.1972,-0.1241,0.1437,-0.2454,-0.0942
2026-04-26 18:47:48.438,43,0.1975,-0.1224,0.1425,-0.2424,-0.0963
2026-04-26 18:47:48.456,44,0.1977,-0.1208,0.1412,-0.2394,-0.0984
2026-04-26 18:47:48.482,45,0.1979,-0.1192,0.1399,-0.2364,-0.1005
2026-04-26 18:47:48.507,46,0.1981,-0.1176,0.1387,-0.2334,-0.1025
2026-04-26 18:47:48.526,47,0.1983,-0.1160,0.1375,-0.2304,-0.1045
2026-04-26 18:47:48.548,48,0.1984,-0.1145,0.1362,-0.2274,-0.1065
2026-04-26 18:47:48.569,49,0.1986,-0.1129,0.1350,-0.2244,-0.1085
2026-04-26 18:47:48.589,50,0.1987,-0.1113,0.1338,-0.2214,-0.1105
2026-04-26 18:47:48.607,51,0.1989,-0.1098,0.1326,-0.2184,-0.1125
2026-04-26 18:47:48.630,52,0.1990,-0.1082,0.1314,-0.2155,-0.1145
2026-04-26 18:47:48.650,53,0.1993,-0.1067,0.1302,-0.2126,-0.1165
2026-04-26 18:47:48.669,54,0.1995,-0.1051,0.1290,-0.2097,-0.1184
2026-04-26 18:47:48.685,55,0.1996,-0.1036,0.1278,-0.2069,-0.1204
2026-04-26 18:47:48.702,56,0.1998,-0.1021,0.1266,-0.2040,-0.1223
2026-04-26 18:47:48.722,57,0.2000,-0.1006,0.1254,-0.2012,-0.1243
2026-04-26 18:47:48.740,58,0.2001,-0.0991,0.1243,-0.1983,-0.1262
